UR_id,dataset,split,n_sources,theta,method,sources_explored,shipping_time_total,shipping_rows_total,local_time_total,method_time_total,rows_final,coverage_final,penalty_final,runtime_total
20,MATHE,skewed_5,5,0.7,method1_full_scan,5,0.036417624993191566,20254,22.396768790997157,22.43318641599035,10,0.9166666666666666,0.5650793650793651,22.444472074508667
20,MATHE,skewed_5,5,0.7,method1_full_scan_stats,1,0.02174666700011585,14178,11.375404333004553,11.39715100000467,10,0.9166666666666666,0.5333333333333333,11.410678148269653
20,MATHE,skewed_5,5,0.8,method1_full_scan,5,0.037719624990131706,20254,22.31580275099259,22.35352237598272,10,0.9166666666666666,0.5650793650793651,22.362201929092407
20,MATHE,skewed_5,5,0.8,method1_full_scan_stats,1,0.01740458299900638,14178,11.506983667000895,11.524388249999902,10,0.9166666666666666,0.5333333333333333,11.535493850708008
20,MATHE,skewed_5,5,0.9,method1_full_scan,5,0.037254832990583964,20254,21.94201183300902,21.979266665999603,10,0.9166666666666666,0.5650793650793651,21.9895601272583
20,MATHE,skewed_5,5,0.9,method1_full_scan_stats,1,0.023355708006420173,14178,11.433693416998722,11.457049125005142,10,0.9166666666666666,0.5333333333333333,11.470270156860352
20,MATHE,high_penalty_20,20,0.7,method1_full_scan,20,0.08063958497950807,20255,21.754396459997224,21.835036044976732,10,0.9166666666666666,0.5650793650793651,21.852179050445557
20,MATHE,high_penalty_20,20,0.7,method1_full_scan_stats,1,0.003763332999369595,1013,0.16597887399984756,0.16974220699921716,10,0.9166666666666666,0.5650793650793651,0.1871049404144287
20,MATHE,high_penalty_20,20,0.8,method1_full_scan,20,0.07606250100798206,20255,21.437668247992406,21.513730749000388,10,0.9166666666666666,0.5650793650793651,21.52660584449768
20,MATHE,high_penalty_20,20,0.8,method1_full_scan_stats,1,0.0036723750017699786,1013,0.16292779100331245,0.16660016600508243,10,0.9166666666666666,0.5650793650793651,0.18855071067810059
20,MATHE,high_penalty_20,20,0.9,method1_full_scan,20,0.07420554298732895,20255,21.268880375013396,21.343085918000725,10,0.9166666666666666,0.5650793650793651,21.356192111968994
20,MATHE,high_penalty_20,20,0.9,method1_full_scan_stats,1,0.003145333997963462,1013,0.16358791599486722,0.16673324999283068,10,0.9166666666666666,0.5650793650793651,0.18468523025512695
20,MATHE,high_penalty_5,5,0.7,method1_full_scan,5,0.03850479199900292,20255,21.06061387599766,21.099118667996663,10,0.9166666666666666,0.5650793650793651,21.109251976013184
